"uf","ibge","nome_mun","numerador","denominador_informado","denominador_estimado","indicador_calculado","indicador","tempo","denominador_utilizado","cod_reg_saude","reg_saude","ano","quadrimestre"
"ES",320280,"ITAPEMIRIM",0,14,125,0,"GEPRE","2018Q1",125,32004,"Sul","2018","Q1"
"ES",320390,"NOVA VENÉCIA",78,173,191,0.41,"GEPRE","2018Q1",191,32005,"Central Norte","2018","Q1"
"ES",320300,"IÚNA",19,49,77,0.25,"GEPRE","2018Q1",77,32004,"Sul","2018","Q1"
"ES",320120,"CACHOEIRO DE ITAPEMIRIM",95,304,704,0.13,"GEPRE","2018Q1",704,32004,"Sul","2018","Q1"
"ES",320450,"SANTA LEOPOLDINA",0,3,33,0,"GEPRE","2018Q1",33,32002,"Metropolitana","2018","Q1"
"ES",320455,"SANTA MARIA DE JETIBÁ",26,164,131,0.16,"GEPRE","2018Q1",164,32002,"Metropolitana","2018","Q1"
"ES",320506,"VENDA NOVA DO IMIGRANTE",13,49,46,0.27,"GEPRE","2018Q1",49,32002,"Metropolitana","2018","Q1"
"ES",320360,"MUCURICI",6,33,20,0.18,"GEPRE","2018Q1",33,32005,"Central Norte","2018","Q1"
"ES",320501,"SOORETAMA",4,47,77,0.05,"GEPRE","2018Q1",77,32005,"Central Norte","2018","Q1"
"ES",320440,"RIO NOVO DO SUL",5,26,23,0.19,"GEPRE","2018Q1",26,32004,"Sul","2018","Q1"
"ES",320240,"GUARAPARI",42,230,315,0.13,"GEPRE","2018Q1",315,32002,"Metropolitana","2018","Q1"
"ES",320530,"VITÓRIA",6,312,1122,0.01,"GEPRE","2018Q1",1122,32002,"Metropolitana","2018","Q1"
"ES",320410,"PINHEIROS",1,2,93,0.01,"GEPRE","2018Q1",93,32005,"Central Norte","2018","Q1"
"ES",320400,"PANCAS",6,34,57,0.11,"GEPRE","2018Q1",57,32005,"Central Norte","2018","Q1"
"ES",320332,"MARATAÍZES",0,19,93,0,"GEPRE","2018Q1",93,32004,"Sul","2018","Q1"
"ES",320503,"VARGEM ALTA",0,7,60,0,"GEPRE","2018Q1",60,32004,"Sul","2018","Q1"
"ES",320460,"SANTA TERESA",0,1,62,0,"GEPRE","2018Q1",62,32002,"Metropolitana","2018","Q1"
"ES",320080,"BAIXO GUANDU",12,68,110,0.11,"GEPRE","2018Q1",110,32005,"Central Norte","2018","Q1"
"ES",320515,"VILA PAVÃO",2,16,23,0.09,"GEPRE","2018Q1",23,32005,"Central Norte","2018","Q1"
"ES",320230,"GUAÇUÍ",8,60,114,0.07,"GEPRE","2018Q1",114,32004,"Sul","2018","Q1"
"ES",320405,"PEDRO CANÁRIO",0,24,62,0,"GEPRE","2018Q1",62,32005,"Central Norte","2018","Q1"
"ES",320225,"GOVERNADOR LINDENBERG",1,20,28,0.04,"GEPRE","2018Q1",28,32005,"Central Norte","2018","Q1"
"ES",320435,"RIO BANANAL",42,93,60,0.45,"GEPRE","2018Q1",93,32005,"Central Norte","2018","Q1"
"ES",320070,"ATILIO VIVACQUA",10,18,38,0.26,"GEPRE","2018Q1",38,32004,"Sul","2018","Q1"
"ES",320016,"ÁGUA DOCE DO NORTE",3,28,42,0.07,"GEPRE","2018Q1",42,32005,"Central Norte","2018","Q1"
"ES",320110,"BOM JESUS DO NORTE",0,3,26,0,"GEPRE","2018Q1",26,32004,"Sul","2018","Q1"
"ES",320425,"PONTO BELO",4,10,23,0.17,"GEPRE","2018Q1",23,32005,"Central Norte","2018","Q1"
"ES",320180,"DIVINO DE SÃO LOURENÇO",0,1,13,0,"GEPRE","2018Q1",13,32004,"Sul","2018","Q1"
"ES",320310,"JERÔNIMO MONTEIRO",8,13,32,0.25,"GEPRE","2018Q1",32,32004,"Sul","2018","Q1"
"ES",320313,"JOÃO NEIVA",0,0,40,0,"GEPRE","2018Q1",40,32002,"Metropolitana","2018","Q1"
"ES",320465,"SÃO DOMINGOS DO NORTE",0,0,23,0,"GEPRE","2018Q1",23,32005,"Central Norte","2018","Q1"
"ES",320510,"VIANA",0,2,309,0,"GEPRE","2018Q1",309,32002,"Metropolitana","2018","Q1"
"ES",320150,"COLATINA",6,41,445,0.01,"GEPRE","2018Q1",445,32005,"Central Norte","2018","Q1"
"ES",320255,"IBITIRAMA",7,36,39,0.18,"GEPRE","2018Q1",39,32004,"Sul","2018","Q1"
"ES",320013,"ÁGUIA BRANCA",0,1,24,0,"GEPRE","2018Q1",24,32005,"Central Norte","2018","Q1"
"ES",320520,"VILA VELHA",0,8,378,0,"GEPRE","2018Q1",378,32002,"Metropolitana","2018","Q1"
"ES",320340,"MIMOSO DO SUL",0,6,46,0,"GEPRE","2018Q1",46,32004,"Sul","2018","Q1"
